ID Type Location PackSize FlowDur FlowRate Protocol SourceIP DestIP SourcePort DestPort ConnCount AnomScore ReputScore TrustLevel Attack
2 Edge 2 187 18 80 UDP 192.168.1.6 192.168.1.5 5105 34008 35 0.2 98 82 0
1 Edge 2 341 17 153 TCP 192.168.1.3 192.168.1.8 4507 30155 14 1.3 97 98 0
1 Edge 2 192 16 133 TCP 192.168.1.22 192.168.1.17 7054 31944 24 0.5 98 81 0
1 Sensor 3 422 15 193 UDP 192.168.1.20 192.168.1.20 20667 38073 30 0.4 99 99 0
2 Edge 2 1423 1.2 124 TCP 192.168.1.13 192.168.1.52 8765 41977 35 3 30 26 1
2 Edge 2 297 17 19 TCP 192.168.1.22 192.168.1.4 15759 30066 13 0 96 85 0
4 Edge 3 239 20 94 UDP 192.168.1.17 192.168.1.3 15238 31150 18 0.7 94 92 0
1 Edge 3 280 13 75 TCP 192.168.1.12 192.168.1.20 17293 34386 26 1.5 83 91 0
3 Edge 1 229 18 198 TCP 192.168.1.14 192.168.1.16 4203 26833 35 0.2 98 88 0
1 Sensor 2 415 19 151 TCP 192.168.1.2 192.168.1.15 1996 27235 13 0.9 81 93 0
1 Edge 2 350 17 53 UDP 192.168.1.22 192.168.1.3 13571 40907 32 1.8 86 98 0
2 Sensor 4 185 15 56 TCP 192.168.1.19 192.168.1.11 1660 48104 28 0.6 85 80 0
2 Sensor 2 236 11 48 UDP 192.168.1.11 192.168.1.18 21595 44993 33 1.4 90 99 0
1 Sensor 1 353 17 98 TCP 192.168.1.12 192.168.1.17 41351 33475 32 2.5 31 43 1
4 Edge 4 467 1.2 14306 UDP 192.168.1.3 192.168.1.5 24131 46050 40 2.5 33 29 1
3 Sensor 3 260 20 176 UDP 192.168.1.11 192.168.1.4 19728 45075 14 0 89 80 0
2 Edge 2 422 17 79 TCP 192.168.1.7 192.168.1.9 3011 48891 25 1.7 93 92 0
1 Edge 3 428 12 175 TCP 192.168.1.3 192.168.1.15 20284 39044 34 1.9 90 96 0
3 Sensor 2 187 19 50 TCP 192.168.1.12 192.168.1.13 23020 35502 24 0 90 94 0
2 Edge 4 1302 1.8 90 UDP 192.168.1.15 192.168.1.3 14869 34423 19 2.5 36 33 1
3 Edge 1 270 14 89 UDP 192.168.1.24 192.168.1.11 21100 48182 25 1 93 82 0
2 Edge 3 347 11 103 TCP 192.168.1.12 192.168.1.4 17949 40104 14 1.9 96 88 0
4 Edge 3 155 12 132 UDP 192.168.1.24 192.168.1.19 12166 27481 33 1.6 84 88 0
4 Edge 1 479 17 168 UDP 192.168.1.16 192.168.1.5 19220 40226 22 1.2 93 96 0
3 Sensor 2 153 20 12 UDP 192.168.1.7 192.168.1.20 4973 37742 16 0.8 81 97 0
4 Sensor 2 104 20 136 TCP 192.168.1.14 192.168.1.7 17208 45350 26 0.5 81 87 0
1 Sensor 4 173 10 10 UDP 192.168.1.14 192.168.1.10 20612 46774 33 1.2 90 88 0
4 Edge 3 104 10 100 UDP 192.168.1.11 192.168.1.7 12874 28286 34 1.8 99 87 0
4 Sensor 4 384 20 132 UDP 192.168.1.5 192.168.1.7 18955 48748 23 0.7 93 83 0
2 Edge 3 399 2 15065 TCP 192.168.1.6 192.168.1.18 24826 34780 23 2.6 30 44 1
4 Sensor 1 448 12 45 TCP 192.168.1.12 192.168.1.4 2886 34486 32 0.3 97 82 0
2 Edge 2 1237 1.4 65 UDP 192.168.1.18 192.168.1.2 6355 28316 33 3 34 26 1
3 Edge 3 348 17 42 UDP 192.168.1.6 192.168.1.8 22697 27042 19 1.4 96 91 0
1 Edge 2 400 17 118 TCP 192.168.1.12 192.168.1.7 2916 42988 31 0.5 87 87 0
2 Sensor 4 412 13 128 TCP 192.168.1.21 192.168.1.18 24712 26459 37 0.5 99 98 0
4 Sensor 4 75 18 54 UDP 192.168.1.16 192.168.1.9 22527 34691 30 1.6 85 86 0
4 Sensor 3 215 12 64 UDP 192.168.1.24 192.168.1.24 16802 31742 39 0.4 81 93 0
3 Edge 1 478 15 140 TCP 192.168.1.10 192.168.1.3 9159 31685 38 1.8 96 95 0
1 Edge 1 511 20 99 TCP 192.168.1.9 192.168.1.21 21530 43386 27 2 84 86 0
3 Edge 3 144 16 47 UDP 192.168.1.9 192.168.1.17 21007 35680 14 1.9 92 88 0
4 Sensor 2 311 20 31 UDP 192.168.1.16 192.168.1.11 35007 39139 26 2.8 32 36 1
2 Edge 3 388 20 83 UDP 192.168.1.10 192.168.1.24 3790 32738 29 1.7 99 99 0
4 Edge 1 96 11 96 UDP 192.168.1.24 192.168.1.16 5894 45039 29 2 87 85 0
3 Sensor 3 264 10 21 UDP 192.168.1.24 192.168.1.23 3152 30275 28 1.2 86 86 0
3 Sensor 3 142 1.6 14046 UDP 192.168.1.10 192.168.1.22 21920 41663 40 3 36 29 1
4 Sensor 1 436 20 150 TCP 192.168.1.2 192.168.1.3 10041 40911 15 0.8 92 90 0
1 Sensor 4 136 12 54 UDP 192.168.1.6 192.168.1.22 6620 42167 35 1.1 99 95 0
2 Edge 2 177 20 183 UDP 192.168.1.11 192.168.1.17 15369 30295 31 0.8 98 98 0
2 Edge 3 1344 1.2 116 UDP 192.168.1.5 192.168.1.11 5204 41170 34 2.7 32 45 1
1 Sensor 2 292 20 132 TCP 192.168.1.24 192.168.1.4 17160 40119 13 0.9 87 89 0
2 Edge 3 352 20 171 TCP 192.168.1.24 192.168.1.19 20811 27512 18 1.1 80 83 0
